date,year,month,day,day_of_week,day_name,week_of_year,quarter,is_public_holiday,is_school_holiday,temperature,precipitation,weather_type,special_exhibition,local_event,marketing_campaign,ticket_promotion,ticket_price,visitors_last_week,visitors_last_2weeks,visitors_last_month,visitors_7day_avg,visitors_14day_avg,visitors_30day_avg,visitors_same_day_last_year,visitors
2023-01-12,2023,1,12,3,Thursday,2,1,0,0,26.2,0.5,Cloudy,0,0,0,0,25,246.0,380.6275415896488,379.10787992495307,355.42857142857144,381.3333333333333,381.3333333333333,380.9425444596443,244
2023-01-13,2023,1,13,4,Friday,2,1,0,0,28.4,2.2,Cloudy,0,0,0,0,25,436.0,380.6275415896488,379.10787992495307,345.42857142857144,380.15384615384613,380.15384615384613,380.9425444596443,366
2023-01-14,2023,1,14,5,Saturday,2,1,0,0,15.4,2.0,Cloudy,0,0,0,1,20,459.0,380.6275415896488,379.10787992495307,361.2857142857143,393.7142857142857,393.7142857142857,380.9425444596443,570
2023-01-15,2023,1,15,6,Sunday,2,1,0,0,16.4,1.8,Cloudy,0,0,0,0,25,315.0,931.0,379.10787992495307,382.57142857142856,360.35714285714283,398.4,380.9425444596443,464
2023-01-16,2023,1,16,0,Monday,3,1,0,0,14.2,0.0,Partly Cloudy,0,0,0,0,25,248.0,423.0,379.10787992495307,401.42857142857144,357.2857142857143,397.25,380.9425444596443,380
2023-01-17,2023,1,17,1,Tuesday,3,1,0,0,19.3,2.6,Cloudy,0,0,0,0,25,414.0,216.0,379.10787992495307,393.42857142857144,367.42857142857144,394.94117647058823,380.9425444596443,358
2023-01-18,2023,1,18,2,Wednesday,3,1,0,0,22.8,0.8,Cloudy,0,0,0,1,20,372.0,272.0,379.10787992495307,395.57142857142856,375.64285714285717,394.5,380.9425444596443,387
2023-01-19,2023,1,19,3,Thursday,3,1,0,0,25.4,2.2,Cloudy,0,0,1,0,25,244.0,246.0,379.10787992495307,411.7142857142857,383.57142857142856,392.5263157894737,380.9425444596443,357
2023-01-20,2023,1,20,4,Friday,3,1,0,0,20.1,1.6,Cloudy,0,0,0,0,25,366.0,436.0,379.10787992495307,411.42857142857144,378.42857142857144,391.1,380.9425444596443,364
2023-01-21,2023,1,21,5,Saturday,3,1,0,0,18.9,0.8,Cloudy,0,0,0,0,25,570.0,459.0,379.10787992495307,391.85714285714283,376.57142857142856,393.0952380952381,380.9425444596443,433
2023-01-22,2023,1,22,6,Sunday,3,1,0,0,21.3,0.3,Sunny,0,0,0,0,25,464.0,315.0,379.10787992495307,427.85714285714283,405.2142857142857,407.77272727272725,380.9425444596443,716
2023-01-23,2023,1,23,0,Monday,4,1,0,0,16.3,0.2,Sunny,0,0,0,0,25,380.0,248.0,379.10787992495307,419.0,410.2142857142857,403.8695652173913,380.9425444596443,318
2023-01-24,2023,1,24,1,Tuesday,4,1,0,0,30.9,3.6,Cloudy,0,0,0,0,25,358.0,414.0,379.10787992495307,404.14285714285717,398.7857142857143,397.625,380.9425444596443,254
2023-01-25,2023,1,25,2,Wednesday,4,1,0,0,12.5,5.0,Rainy,0,0,0,0,25,387.0,372.0,379.10787992495307,384.85714285714283,390.2142857142857,391.8,380.9425444596443,252
2023-01-26,2023,1,26,3,Thursday,4,1,1,0,21.4,2.1,Cloudy,0,0,0,0,25,357.0,244.0,379.10787992495307,418.7142857142857,415.2142857142857,399.5769230769231,380.9425444596443,594
2023-01-27,2023,1,27,4,Friday,4,1,0,0,30.6,0.2,Sunny,0,0,0,0,25,364.0,366.0,379.10787992495307,424.2857142857143,417.85714285714283,399.7037037037037,380.9425444596443,403
2023-01-28,2023,1,28,5,Saturday,4,1,0,0,20.5,1.0,Cloudy,0,0,0,0,25,433.0,570.0,379.10787992495307,441.0,416.42857142857144,405.07142857142856,380.9425444596443,550
2023-01-29,2023,1,29,6,Sunday,4,1,0,0,19.5,2.6,Cloudy,0,0,1,0,25,716.0,464.0,379.10787992495307,410.0,418.92857142857144,408.3103448275862,380.9425444596443,499
2023-01-30,2023,1,30,0,Monday,5,1,0,0,18.7,3.0,Cloudy,0,0,0,0,25,318.0,380.0,379.10787992495307,415.14285714285717,417.07142857142856,406.5,380.9425444596443,354
2023-01-31,2023,1,31,1,Tuesday,5,1,0,0,19.6,0.3,Sunny,0,0,1,0,25,254.0,358.0,931.0,438.14285714285717,421.14285714285717,389.3,380.9425444596443,415
2023-02-01,2023,2,1,2,Wednesday,5,1,0,0,27.4,0.0,Sunny,1,0,0,1,20,252.0,387.0,423.0,488.14285714285717,436.5,395.26666666666665,380.9425444596443,602
2023-02-02,2023,2,2,3,Thursday,5,1,0,0,9.4,2.5,Cloudy,1,0,0,1,20,594.0,357.0,216.0,561.0,489.85714285714283,424.8666666666667,380.9425444596443,1104
2023-02-03,2023,2,3,4,Friday,5,1,0,0,28.2,0.9,Cloudy,1,0,0,0,25,403.0,364.0,272.0,565.0,494.64285714285717,430.1666666666667,380.9425444596443,431
2023-02-04,2023,2,4,5,Saturday,5,1,0,0,13.4,0.6,Cloudy,1,0,0,1,20,550.0,433.0,246.0,576.5714285714286,508.7857142857143,443.0,380.9425444596443,631
2023-02-05,2023,2,5,6,Sunday,5,1,0,0,19.2,0.0,Sunny,1,0,0,0,25,499.0,716.0,436.0,603.8571428571429,506.92857142857144,451.46666666666664,380.9425444596443,690
2023-02-06,2023,2,6,0,Monday,6,1,0,0,18.4,1.6,Cloudy,1,0,0,0,25,354.0,318.0,459.0,602.7142857142857,508.92857142857144,447.7,380.9425444596443,346
2023-02-07,2023,2,7,1,Tuesday,6,1,0,0,23.4,3.8,Cloudy,1,0,0,0,25,415.0,254.0,315.0,615.7142857142857,526.9285714285714,454.06666666666666,380.9425444596443,506
2023-02-08,2023,2,8,2,Wednesday,6,1,0,0,12.5,6.3,Rainy,1,0,0,0,25,602.0,252.0,248.0,567.7142857142857,527.9285714285714,454.6666666666667,380.9425444596443,266
2023-02-09,2023,2,9,3,Thursday,6,1,0,0,22.8,1.7,Cloudy,1,0,0,0,25,1104.0,594.0,414.0,468.85714285714283,514.9285714285714,454.6,380.9425444596443,412
2023-02-10,2023,2,10,4,Friday,6,1,0,0,30.6,1.4,Cloudy,1,0,0,0,25,431.0,403.0,372.0,459.0,512.0,454.26666666666665,380.9425444596443,362
2023-02-11,2023,2,11,5,Saturday,6,1,0,0,13.7,0.2,Sunny,1,0,0,0,25,631.0,550.0,244.0,475.7142857142857,526.1428571428571,471.06666666666666,380.9425444596443,748
2023-02-12,2023,2,12,6,Sunday,6,1,0,0,21.4,1.6,Cloudy,1,0,0,0,25,690.0,499.0,366.0,468.42857142857144,536.1428571428571,480.1666666666667,380.9425444596443,639
2023-02-13,2023,2,13,0,Monday,7,1,0,0,17.2,1.0,Cloudy,1,0,0,1,20,346.0,354.0,570.0,477.42857142857144,540.0714285714286,474.8,380.9425444596443,409
2023-02-14,2023,2,14,1,Tuesday,7,1,0,0,22.6,1.9,Cloudy,1,0,0,0,25,506.0,415.0,464.0,465.2857142857143,540.5,473.3666666666667,380.9425444596443,421
2023-02-15,2023,2,15,2,Wednesday,7,1,0,0,20.6,1.0,Cloudy,1,0,0,0,25,266.0,602.0,380.0,475.0,521.3571428571429,471.8333333333333,380.9425444596443,334
2023-02-16,2023,2,16,3,Thursday,7,1,0,0,17.3,0.5,Cloudy,1,0,0,0,25,412.0,1104.0,358.0,470.2857142857143,469.57142857142856,472.53333333333336,380.9425444596443,379
2023-02-17,2023,2,17,4,Friday,7,1,0,0,22.9,0.2,Sunny,1,0,0,1,20,362.0,431.0,387.0,524.2857142857143,491.64285714285717,484.3,380.9425444596443,740
2023-02-18,2023,2,18,5,Saturday,7,1,0,0,29.5,0.8,Cloudy,1,0,0,0,25,748.0,631.0,357.0,507.57142857142856,491.64285714285717,493.43333333333334,380.9425444596443,631
2023-02-19,2023,2,19,6,Sunday,7,1,0,0,19.5,0.2,Sunny,1,0,0,0,25,639.0,690.0,364.0,498.7142857142857,483.57142857142856,500.53333333333336,380.9425444596443,577
2023-02-20,2023,2,20,0,Monday,8,1,0,0,24.1,0.4,Partly Cloudy,1,0,0,0,25,409.0,346.0,433.0,488.7142857142857,483.07142857142856,497.4,380.9425444596443,339
2023-02-21,2023,2,21,1,Tuesday,8,1,0,0,14.0,8.7,Rainy,1,0,0,0,25,421.0,506.0,716.0,460.7142857142857,463.0,481.03333333333336,380.9425444596443,225
2023-02-22,2023,2,22,2,Wednesday,8,1,0,0,15.7,1.2,Cloudy,1,0,0,0,25,334.0,266.0,318.0,455.57142857142856,465.2857142857143,480.3666666666667,380.9425444596443,298
2023-02-23,2023,2,23,3,Thursday,8,1,0,0,22.9,1.5,Cloudy,1,0,0,0,25,379.0,412.0,254.0,472.14285714285717,471.2142857142857,488.4,380.9425444596443,495
2023-02-24,2023,2,24,4,Friday,8,1,0,0,27.9,4.1,Cloudy,1,0,0,0,25,740.0,362.0,252.0,434.7142857142857,479.5,495.93333333333334,380.9425444596443,478
2023-02-25,2023,2,25,5,Saturday,8,1,0,0,22.3,10.8,Rainy,1,0,0,0,25,631.0,748.0,594.0,507.85714285714283,507.7142857142857,514.2333333333333,380.9425444596443,1143
2023-02-26,2023,2,26,6,Sunday,8,1,0,0,18.9,1.7,Cloudy,1,0,0,0,25,577.0,639.0,403.0,508.0,503.35714285714283,520.0666666666667,380.9425444596443,578
2023-02-27,2023,2,27,0,Monday,9,1,0,0,20.5,3.3,Cloudy,1,0,1,0,25,339.0,409.0,550.0,529.1428571428571,508.92857142857144,517.9666666666667,380.9425444596443,487
2023-02-28,2023,2,28,1,Tuesday,9,1,0,0,14.2,0.8,Cloudy,1,0,0,0,25,225.0,421.0,499.0,545.4285714285714,503.07142857142856,512.6333333333333,380.9425444596443,339
2023-03-01,2023,3,1,2,Wednesday,9,1,0,0,20.9,0.7,Cloudy,1,0,0,0,25,298.0,334.0,354.0,550.5714285714286,503.07142857142856,511.96666666666664,380.9425444596443,334
2023-03-02,2023,3,2,3,Thursday,9,1,0,0,22.0,1.0,Cloudy,1,0,0,0,25,495.0,379.0,415.0,529.8571428571429,501.0,509.8,380.9425444596443,350
2023-03-03,2023,3,3,4,Friday,9,1,0,0,16.7,2.2,Cloudy,1,0,0,0,25,478.0,740.0,602.0,501.57142857142856,468.14285714285717,499.06666666666666,380.9425444596443,280
2023-03-04,2023,3,4,5,Saturday,9,1,0,0,16.6,2.3,Cloudy,1,0,0,0,25,1143.0,631.0,1104.0,404.14285714285717,456.0,477.6333333333333,380.9425444596443,461
2023-03-05,2023,3,5,6,Sunday,9,1,0,0,19.6,0.8,Cloudy,1,0,0,0,25,578.0,577.0,431.0,382.57142857142856,445.2857142857143,477.5,380.9425444596443,427
2023-03-06,2023,3,6,0,Monday,10,1,0,0,16.8,0.3,Sunny,1,0,0,0,25,487.0,339.0,631.0,373.85714285714283,451.5,470.6666666666667,380.9425444596443,426
2023-03-07,2023,3,7,1,Tuesday,10,1,0,0,18.2,2.0,Cloudy,1,0,0,0,25,339.0,225.0,690.0,367.57142857142856,456.5,457.5,380.9425444596443,295
2023-03-08,2023,3,8,2,Wednesday,10,1,0,0,26.9,0.3,Sunny,1,0,1,0,25,334.0,298.0,346.0,381.42857142857144,466.0,460.3333333333333,380.9425444596443,431
2023-03-09,2023,3,9,3,Thursday,10,1,0,0,17.5,1.7,Cloudy,1,0,0,0,25,350.0,495.0,506.0,371.85714285714283,450.85714285714283,452.9,380.9425444596443,283
2023-03-10,2023,3,10,4,Friday,10,1,0,0,17.1,2.4,Cloudy,1,0,0,0,25,280.0,478.0,266.0,381.42857142857144,441.5,455.6,380.9425444596443,347
2023-03-11,2023,3,11,5,Saturday,10,1,0,0,15.9,2.4,Cloudy,1,0,0,0,25,461.0,1143.0,412.0,385.0,394.57142857142856,458.06666666666666,380.9425444596443,486
2023-03-12,2023,3,12,6,Sunday,10,1,0,0,21.5,2.8,Cloudy,1,0,1,0,25,427.0,578.0,362.0,394.0,388.2857142857143,462.3333333333333,380.9425444596443,490
2023-03-13,2023,3,13,0,Monday,11,1,1,0,17.8,4.1,Cloudy,1,0,0,0,25,426.0,487.0,748.0,400.14285714285717,387.0,453.03333333333336,380.9425444596443,469
2023-03-14,2023,3,14,1,Tuesday,11,1,0,0,15.9,1.4,Cloudy,1,0,0,0,25,295.0,339.0,639.0,400.85714285714283,384.2142857142857,441.73333333333335,380.9425444596443,300
2023-03-15,2023,3,15,2,Wednesday,11,1,0,0,23.8,2.6,Cloudy,1,0,0,1,20,431.0,334.0,409.0,393.85714285714283,387.64285714285717,440.8333333333333,380.9425444596443,382
2023-03-16,2023,3,16,3,Thursday,11,1,0,0,24.2,1.9,Cloudy,1,0,1,0,25,283.0,350.0,421.0,401.7142857142857,386.7857142857143,438.06666666666666,380.9425444596443,338
2023-03-17,2023,3,17,4,Friday,11,1,0,0,16.1,0.4,Sunny,1,0,0,0,25,347.0,280.0,334.0,416.0,398.7142857142857,441.8333333333333,380.9425444596443,447
2023-03-18,2023,3,18,5,Saturday,11,1,0,0,11.0,0.1,Sunny,1,0,0,0,25,486.0,461.0,379.0,416.2857142857143,400.64285714285717,445.46666666666664,380.9425444596443,488
2023-03-19,2023,3,19,6,Sunday,11,1,0,0,22.5,0.7,Cloudy,1,0,0,0,25,490.0,427.0,740.0,419.85714285714283,406.92857142857144,437.96666666666664,380.9425444596443,515
2023-03-20,2023,3,20,0,Monday,12,1,0,0,15.8,1.2,Cloudy,1,1,0,0,25,469.0,426.0,631.0,408.14285714285717,404.14285714285717,429.8333333333333,380.9425444596443,387
2023-03-21,2023,3,21,1,Tuesday,12,1,0,0,21.7,1.9,Cloudy,1,1,0,0,25,300.0,295.0,577.0,441.14285714285717,421.0,428.3,380.9425444596443,531
2023-03-22,2023,3,22,2,Wednesday,12,1,0,0,10.6,3.8,Cloudy,1,1,0,0,25,382.0,431.0,339.0,464.14285714285717,429.0,435.1,380.9425444596443,543
2023-03-23,2023,3,23,3,Thursday,12,1,0,0,22.1,0.4,Partly Cloudy,1,1,1,0,25,338.0,283.0,225.0,498.85714285714283,450.2857142857143,446.96666666666664,380.9425444596443,581
2023-03-24,2023,3,24,4,Friday,12,1,0,0,13.7,0.3,Sunny,1,1,0,0,25,447.0,347.0,298.0,527.5714285714286,471.7857142857143,458.6333333333333,380.9425444596443,648
2023-03-25,2023,3,25,5,Saturday,12,1,0,0,21.4,6.6,Rainy,1,1,1,0,25,488.0,486.0,495.0,537.4285714285714,476.85714285714283,460.7,380.9425444596443,557
2023-03-26,2023,3,26,6,Sunday,12,1,0,0,18.6,0.2,Sunny,1,1,0,0,25,515.0,490.0,478.0,586.1428571428571,503.0,473.3,380.9425444596443,856
2023-03-27,2023,3,27,0,Monday,13,1,0,0,14.7,1.3,Cloudy,1,0,0,0,25,387.0,469.0,1143.0,568.4285714285714,488.2857142857143,443.96666666666664,380.9425444596443,263
2023-03-28,2023,3,28,1,Tuesday,13,1,0,0,16.9,1.8,Cloudy,1,0,0,0,25,531.0,300.0,578.0,536.8571428571429,489.0,435.03333333333336,380.9425444596443,310
2023-03-29,2023,3,29,2,Wednesday,13,1,0,0,21.2,1.6,Cloudy,1,0,1,0,25,543.0,382.0,487.0,510.57142857142856,487.35714285714283,430.76666666666665,380.9425444596443,359
2023-03-30,2023,3,30,3,Thursday,13,1,0,0,18.9,0.2,Sunny,1,0,0,0,25,581.0,338.0,339.0,483.2857142857143,491.07142857142856,432.46666666666664,380.9425444596443,390
2023-03-31,2023,3,31,4,Friday,13,1,0,0,20.8,0.1,Sunny,1,0,0,0,25,648.0,447.0,334.0,453.2857142857143,490.42857142857144,435.93333333333334,380.9425444596443,438
2023-04-01,2023,4,1,5,Saturday,13,2,0,1,23.4,0.2,Sunny,1,0,0,0,25,557.0,488.0,350.0,494.85714285714283,516.1428571428571,452.53333333333336,380.9425444596443,848
2023-04-02,2023,4,2,6,Sunday,13,2,0,1,9.2,1.8,Cloudy,1,0,1,0,25,856.0,515.0,280.0,436.7142857142857,511.42857142857144,458.1666666666667,380.9425444596443,449
2023-04-03,2023,4,3,0,Monday,14,2,0,1,22.0,1.6,Cloudy,1,0,1,0,25,263.0,387.0,461.0,473.2857142857143,520.8571428571429,460.1,380.9425444596443,519
2023-04-04,2023,4,4,1,Tuesday,14,2,0,1,15.9,0.5,Cloudy,1,0,0,0,25,310.0,531.0,427.0,476.57142857142856,506.7142857142857,456.96666666666664,380.9425444596443,333
2023-04-05,2023,4,5,2,Wednesday,14,2,0,1,11.9,2.0,Cloudy,1,0,0,0,25,359.0,543.0,426.0,476.0,493.2857142857143,454.6,380.9425444596443,355
2023-04-06,2023,4,6,3,Thursday,14,2,0,1,10.2,3.4,Cloudy,1,0,0,0,25,390.0,581.0,295.0,475.0,479.14285714285717,457.53333333333336,380.9425444596443,383
2023-04-07,2023,4,7,4,Friday,14,2,1,1,14.7,0.1,Sunny,1,0,1,0,25,438.0,648.0,431.0,528.1428571428571,490.7142857142857,470.1666666666667,380.9425444596443,810
2023-04-08,2023,4,8,5,Saturday,14,2,1,1,19.2,1.4,Cloudy,1,0,0,0,25,848.0,557.0,283.0,523.8571428571429,509.35714285714283,488.0,380.9425444596443,818
2023-04-09,2023,4,9,6,Sunday,14,2,1,1,15.0,2.3,Cloudy,1,0,0,1,20,449.0,856.0,347.0,615.4285714285714,526.0714285714286,512.7666666666667,380.9425444596443,1090
2023-04-10,2023,4,10,0,Monday,15,2,1,1,21.5,0.6,Cloudy,1,0,0,0,25,519.0,263.0,486.0,623.5714285714286,548.4285714285714,515.7666666666667,380.9425444596443,576
2023-04-11,2023,4,11,1,Tuesday,15,2,0,1,9.7,0.7,Cloudy,1,0,0,0,25,333.0,310.0,490.0,624.1428571428571,550.3571428571429,510.6666666666667,380.9425444596443,337
2023-04-12,2023,4,12,2,Wednesday,15,2,0,1,15.5,1.9,Cloudy,1,0,1,0,25,355.0,359.0,469.0,643.2857142857143,559.6428571428571,511.3333333333333,380.9425444596443,489
2023-04-13,2023,4,13,3,Thursday,15,2,0,1,10.5,4.6,Cloudy,1,0,1,0,25,383.0,390.0,300.0,727.8571428571429,601.4285714285714,533.8333333333334,380.9425444596443,975
2023-04-14,2023,4,14,4,Friday,15,2,0,1,17.0,3.3,Cloudy,1,0,1,0,25,810.0,438.0,382.0,667.7142857142857,597.9285714285714,534.0666666666667,380.9425444596443,389
2023-04-15,2023,4,15,5,Saturday,15,2,0,1,19.0,1.7,Cloudy,1,0,0,0,25,818.0,848.0,338.0,670.0,596.9285714285714,550.6,380.9425444596443,834
2023-04-16,2023,4,16,6,Sunday,15,2,0,1,13.8,2.6,Cloudy,1,0,1,0,25,1090.0,449.0,447.0,592.8571428571429,604.1428571428571,554.0333333333333,380.9425444596443,550
2023-04-17,2023,4,17,0,Monday,16,2,0,1,5.1,0.9,Cloudy,1,0,0,0,25,576.0,519.0,488.0,565.4285714285714,594.5,550.5666666666667,380.9425444596443,384
2023-04-18,2023,4,18,1,Tuesday,16,2,0,1,16.3,2.0,Cloudy,1,0,0,0,25,337.0,333.0,515.0,567.2857142857143,595.7142857142857,545.0666666666667,380.9425444596443,350
2023-04-19,2023,4,19,2,Wednesday,16,2,0,0,17.2,1.3,Cloudy,1,0,0,0,25,489.0,355.0,387.0,533.2857142857143,588.2857142857143,540.5333333333333,380.9425444596443,251
2023-04-20,2023,4,20,3,Thursday,16,2,0,0,17.1,0.4,Sunny,1,0,0,0,25,975.0,383.0,531.0,439.14285714285717,583.5,533.3666666666667,380.9425444596443,316
2023-04-21,2023,4,21,4,Friday,16,2,0,0,20.4,2.4,Cloudy,1,0,0,1,20,389.0,810.0,543.0,453.85714285714283,560.7857142857143,531.6666666666666,380.9425444596443,492
2023-04-22,2023,4,22,5,Saturday,16,2,0,0,11.2,1.6,Cloudy,1,0,0,0,25,834.0,818.0,581.0,389.2857142857143,529.6428571428571,525.0333333333333,380.9425444596443,382
2023-04-23,2023,4,23,6,Sunday,16,2,0,0,18.2,0.9,Cloudy,1,0,1,0,25,550.0,1090.0,648.0,375.7142857142857,484.2857142857143,518.6,380.9425444596443,455
2023-04-24,2023,4,24,0,Monday,17,2,0,0,20.3,4.8,Cloudy,1,0,0,0,25,384.0,576.0,557.0,372.85714285714283,469.14285714285717,512.1666666666666,380.9425444596443,364
2023-04-25,2023,4,25,1,Tuesday,17,2,1,0,8.4,0.0,Partly Cloudy,1,0,0,0,25,350.0,337.0,856.0,373.7142857142857,470.5,495.5,380.9425444596443,356
2023-04-26,2023,4,26,2,Wednesday,17,2,0,0,16.8,0.8,Cloudy,1,0,0,0,25,251.0,489.0,263.0,377.2857142857143,455.2857142857143,495.93333333333334,380.9425444596443,276
2023-04-27,2023,4,27,3,Thursday,17,2,0,0,13.5,0.1,Sunny,1,0,0,0,25,316.0,975.0,310.0,384.42857142857144,411.7857142857143,497.8,380.9425444596443,366
2023-04-28,2023,4,28,4,Friday,17,2,0,0,15.2,2.9,Cloudy,1,0,0,0,25,492.0,389.0,359.0,362.85714285714283,408.35714285714283,497.2,380.9425444596443,341
2023-04-29,2023,4,29,5,Saturday,17,2,0,0,16.9,2.4,Cloudy,1,0,0,0,25,382.0,834.0,390.0,371.0,380.14285714285717,498.8333333333333,380.9425444596443,439
2023-04-30,2023,4,30,6,Sunday,17,2,0,0,13.6,0.8,Cloudy,1,0,0,0,25,455.0,550.0,438.0,360.85714285714283,368.2857142857143,497.03333333333336,380.9425444596443,384
2023-05-01,2023,5,1,0,Monday,18,2,0,0,10.0,2.3,Cloudy,0,0,0,0,25,364.0,384.0,848.0,336.85714285714283,354.85714285714283,475.3,380.9425444596443,196
2023-05-02,2023,5,2,1,Tuesday,18,2,0,0,12.1,1.0,Cloudy,0,0,1,0,25,356.0,350.0,449.0,314.85714285714283,344.2857142857143,467.06666666666666,380.9425444596443,202
2023-05-03,2023,5,3,2,Wednesday,18,2,0,0,8.7,2.8,Cloudy,0,0,0,0,25,276.0,251.0,519.0,294.42857142857144,335.85714285714283,454.2,380.9425444596443,133
2023-05-04,2023,5,4,3,Thursday,18,2,0,0,8.7,1.2,Cloudy,0,0,0,0,25,366.0,316.0,333.0,267.0,325.7142857142857,448.9,380.9425444596443,174
2023-05-05,2023,5,5,4,Friday,18,2,0,0,14.0,1.1,Cloudy,0,0,0,0,25,341.0,492.0,355.0,256.2857142857143,309.57142857142856,445.93333333333334,380.9425444596443,266
2023-05-06,2023,5,6,5,Saturday,18,2,0,0,8.6,5.5,Rainy,0,0,0,0,25,439.0,382.0,383.0,216.14285714285714,293.57142857142856,438.43333333333334,380.9425444596443,158
2023-05-07,2023,5,7,6,Sunday,18,2,0,0,14.0,0.6,Cloudy,0,0,0,0,25,384.0,455.0,810.0,196.28571428571428,278.57142857142856,419.6,380.9425444596443,245
2023-05-08,2023,5,8,0,Monday,19,2,0,0,13.4,0.3,Sunny,0,0,1,0,25,196.0,364.0,818.0,204.42857142857142,270.64285714285717,400.76666666666665,380.9425444596443,253
2023-05-09,2023,5,9,1,Tuesday,19,2,0,0,6.8,1.8,Cloudy,0,0,0,0,25,202.0,356.0,1090.0,199.85714285714286,257.35714285714283,370.1,380.9425444596443,170
2023-05-10,2023,5,10,2,Wednesday,19,2,0,0,10.0,7.0,Rainy,0,0,0,0,25,133.0,276.0,576.0,202.0,248.21428571428572,355.8333333333333,380.9425444596443,148
2023-05-11,2023,5,11,3,Thursday,19,2,0,0,15.6,0.9,Cloudy,0,0,0,0,25,174.0,366.0,337.0,205.0,236.0,351.1,380.9425444596443,195
2023-05-12,2023,5,12,4,Friday,19,2,0,0,9.1,0.1,Partly Cloudy,0,0,1,0,25,266.0,341.0,489.0,196.71428571428572,226.5,341.73333333333335,380.9425444596443,208
2023-05-13,2023,5,13,5,Saturday,19,2,0,0,10.6,0.8,Cloudy,0,0,0,0,25,158.0,439.0,975.0,214.85714285714286,215.5,318.73333333333335,380.9425444596443,285
2023-05-14,2023,5,14,6,Sunday,19,2,0,0,13.4,1.4,Cloudy,0,0,0,1,20,245.0,384.0,389.0,217.57142857142858,206.92857142857142,314.56666666666666,380.9425444596443,264
2023-05-15,2023,5,15,0,Monday,20,2,0,0,14.4,0.4,Partly Cloudy,0,0,0,0,25,253.0,196.0,834.0,212.71428571428572,208.57142857142858,294.06666666666666,380.9425444596443,219
2023-05-16,2023,5,16,1,Tuesday,20,2,0,0,11.2,2.1,Cloudy,0,0,0,0,25,170.0,202.0,550.0,217.42857142857142,208.64285714285714,282.5,380.9425444596443,203
2023-05-17,2023,5,17,2,Wednesday,20,2,0,0,10.2,12.2,Rainy,0,0,1,0,25,148.0,133.0,384.0,215.85714285714286,208.92857142857142,274.26666666666665,380.9425444596443,137
2023-05-18,2023,5,18,3,Thursday,20,2,0,0,16.3,1.2,Cloudy,0,0,0,0,25,195.0,174.0,350.0,211.28571428571428,208.14285714285714,268.03333333333336,380.9425444596443,163
2023-05-19,2023,5,19,4,Friday,20,2,0,0,17.2,0.9,Cloudy,0,0,0,0,25,208.0,266.0,251.0,218.42857142857142,207.57142857142858,268.26666666666665,380.9425444596443,258
2023-05-20,2023,5,20,5,Saturday,20,2,0,0,14.9,1.0,Cloudy,0,0,0,0,25,285.0,158.0,316.0,215.0,214.92857142857142,266.43333333333334,380.9425444596443,261
